Model,Year,Mileage,V_engine,EngineType,HorsePower,Selector,Color,CarBodyType,Drive,Price
Audi Q3 I (8U),2013,92400.0,2.0,Бензин,170.0,робот,белый,внедорожник 5 дв.,полный,1359000.0
Hyundai Solaris I Рестайлинг,2016,76550.0,1.6,Бензин,123.0,автомат,серый,седан,передний,784000.0
Lexus GS 350 IV,2012,290637.0,3.5,Бензин,317.0,автомат,серый,седан,полный,1565000.0
MINI Hatch Cooper III (F55/F56) Рестайлинг,2020,3092.0,1.5,Бензин,136.0,робот,синий,хэтчбек 3 дв.,передний,1975000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Active,внедорожник 5 дв.,передний,1866000.0
Kia Ceed II Рестайлинг,2018,82245.0,1.6,Бензин,135.0,робот,белый,универсал 5 дв.,передний,1348000.0
Nissan X-Trail III Рестайлинг,2019,28781.0,2.5,Бензин,171.0,вариатор,белый,внедорожник 5 дв.,полный,2588000.0
Ford Fusion I Рестайлинг,2006,201224.0,1.6,Бензин,101.0,механика,чёрный,хэтчбек 5 дв.,передний,271000.0
Volkswagen Polo V,2011,185046.0,1.6,Бензин,105.0,механика,белый,седан,передний,419000.0
Suzuki SX4 II (S-Cross),2013,143000.0,1.6,Бензин,117.0,вариатор,синий,хэтчбек 5 дв.,передний,989000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Style,внедорожник 5 дв.,передний,2262000.0
Ford EcoSport I,2018,67097.0,1.6,Бензин,122.0,робот,синий,внедорожник 5 дв.,передний,1107000.0
Kia Sportage IV Рестайлинг,2020,16072.0,2.0,Бензин,150.0,автомат,коричневый,внедорожник 5 дв.,полный,2016000.0
Datsun on-DO I,2016,107010.0,1.6,Бензин,87.0,механика,серый,седан,передний,381000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,робот,Ambition (2020),внедорожник 5 дв.,полный,2298000.0
Kia Rio 5-speed III,2011,98853.0,1.6,Бензин,123.0,механика,серебристый,седан,передний,597000.0
Citroen C4 II,2012,126600.0,1.6,Бензин,120.0,автомат,чёрный,хэтчбек 5 дв.,передний,521000.0
Ford Kuga II,2016,49052.0,2.5,Бензин,150.0,автомат,синий,внедорожник 5 дв.,передний,1366000.0
Hyundai ix35 I Рестайлинг,2013,138438.0,2.0,Бензин,150.0,автомат,чёрный,внедорожник 5 дв.,передний,1100000.0
Skoda Octavia II (A5) Рестайлинг,2012,146135.0,1.8,Бензин,152.0,автомат,бежевый,лифтбек,передний,741000.0
Kia Rio X-Line IV,2018,75550.0,1.6,Бензин,123.0,механика,коричневый,хэтчбек 5 дв.,передний,916000.0
BMW X7 40i I (G07),2020,21430.0,3.0,Бензин,340.0,автомат,чёрный,внедорожник 5 дв.,полный,6700000.0
Mazda CX-5 II,2017,58400.0,2.0,Бензин,150.0,автомат,серый,внедорожник 5 дв.,передний,1947000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Active,внедорожник 5 дв.,передний,1895000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,робот,Hockey Edition (2020-2021),внедорожник 5 дв.,полный,2275000.0
Mazda 3 I (BK) Рестайлинг,2007,187454.0,1.6,Бензин,105.0,автомат,серый,хэтчбек 5 дв.,передний,465000.0
Skoda Octavia III (A7),2015,234595.0,1.8,Бензин,180.0,робот,жёлтый,лифтбек,передний,768000.0
Nissan Juke I Рестайлинг,2018,31100.0,1.6,Бензин,117.0,вариатор,чёрный,внедорожник 5 дв.,передний,1447000.0
Hyundai Solaris II,2020,32299.0,1.6,Бензин,123.0,автомат,белый,седан,передний,1316000.0
Kia Optima III Рестайлинг,2014,136000.0,2.4,Бензин,180.0,автомат,серый,седан,передний,1295000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Ambition,внедорожник 5 дв.,передний,2135000.0
Lifan X60 I,2015,82741.0,1.8,Бензин,128.0,автомат,серебристый,внедорожник 5 дв.,передний,630000.0
Kia Picanto III Рестайлинг,2021,3944.0,1.3,Бензин,84.0,автомат,белый,хэтчбек 5 дв.,передний,1550000.0
Kia Sportage IV Рестайлинг,2020,16549.0,2.0,Бензин,150.0,автомат,чёрный,внедорожник 5 дв.,передний,2016000.0
Skoda Karoq I,2021,0.0,1.6,Бензин,110.0,автомат,Ambition,внедорожник 5 дв.,передний,1944000.0
Kia Sportage IV Рестайлинг,2019,79625.0,2.0,Бензин,150.0,автомат,серый,внедорожник 5 дв.,полный,1799000.0
Hyundai Creta I,2019,32900.0,1.6,Бензин,123.0,автомат,серый,внедорожник 5 дв.,передний,1377000.0
Nissan Almera Classic I,2007,222123.0,1.6,Бензин,107.0,механика,серебристый,седан,передний,311000.0
Hyundai Solaris II,2020,32299.0,1.6,Бензин,123.0,автомат,белый,седан,передний,1316000.0
Hyundai Creta I,2019,4547.0,1.6,Бензин,123.0,автомат,коричневый,внедорожник 5 дв.,передний,1632000.0
Skoda Karoq I,2021,0.0,1.6,Бензин,110.0,автомат,Ambition,внедорожник 5 дв.,передний,1944000.0
Kia Rio X-Line IV,2018,79767.0,1.6,Бензин,123.0,автомат,синий,хэтчбек 5 дв.,передний,1222000.0
Hyundai Solaris I,2013,83895.0,1.6,Бензин,123.0,автомат,фиолетовый,седан,передний,701000.0
Skoda Octavia III (A7) Рестайлинг,2019,131068.0,1.4,Бензин,150.0,робот,белый,лифтбек,передний,1391000.0
Nissan Qashqai II,2014,194392.0,2.0,Бензин,144.0,вариатор,чёрный,внедорожник 5 дв.,передний,1242000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Ambition,внедорожник 5 дв.,передний,2215000.0
MINI Countryman Cooper S I,2011,135384.0,1.6,Бензин,184.0,автомат,коричневый,внедорожник 5 дв.,полный,1047000.0
Kia Sportage IV,2017,150562.0,2.0,Дизель,185.0,автомат,серый,внедорожник 5 дв.,полный,2051000.0
Datsun mi-DO,2018,36000.0,1.6,Бензин,87.0,автомат,белый,хэтчбек 5 дв.,передний,585000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Style,внедорожник 5 дв.,передний,2262000.0
Nissan Qashqai I Рестайлинг,2013,186340.0,2.0,Бензин,141.0,вариатор,фиолетовый,внедорожник 5 дв.,передний,793000.0
Nissan Murano I (Z50),2004,142000.0,3.5,Бензин,248.0,вариатор,чёрный,внедорожник 5 дв.,полный,544000.0
Hyundai Santa Fe III,2015,147790.0,2.4,Бензин,175.0,автомат,чёрный,внедорожник 5 дв.,полный,1591000.0
Kia Rio IV,2019,13808.0,1.6,Бензин,123.0,автомат,красный,седан,передний,1275000.0
Kia Rio 4-speed III,2013,152095.0,1.6,Бензин,123.0,автомат,белый,седан,передний,617000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,робот,Style (2020-2021),внедорожник 5 дв.,полный,2261700.0
Nissan X-Trail III,2017,121265.0,2.5,Бензин,171.0,вариатор,чёрный,внедорожник 5 дв.,полный,1637000.0
Ford Mondeo IV,2008,265000.0,2.0,Бензин,145.0,механика,чёрный,седан,передний,462000.0
Peugeot Traveller I,2018,150752.0,1.6,Дизель,95.0,механика,белый,минивэн,передний,2055000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Style,внедорожник 5 дв.,передний,2262000.0
Mazda CX-7 I Рестайлинг,2010,172857.0,2.3,Бензин,238.0,автомат,синий,внедорожник 5 дв.,полный,758000.0
Chevrolet Tahoe IV,2018,100331.0,6.2,Бензин,426.0,автомат,чёрный,внедорожник 5 дв.,полный,4100000.0
Nissan X-Trail II,2008,170614.0,2.5,Бензин,169.0,вариатор,чёрный,внедорожник 5 дв.,полный,859000.0
Nissan Qashqai II,2014,191565.0,2.0,Бензин,144.0,вариатор,белый,внедорожник 5 дв.,полный,1214000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Active,внедорожник 5 дв.,передний,1875600.0
Nissan Qashqai I Рестайлинг,2013,188387.0,1.6,Бензин,114.0,механика,чёрный,внедорожник 5 дв.,передний,747000.0
Land Rover Range Rover Sport I Рестайлинг,2012,118000.0,3.0,Дизель,245.0,автомат,чёрный,внедорожник 5 дв.,полный,1595000.0
Skoda Octavia II (A5) Рестайлинг,2013,152595.0,1.6,Бензин,102.0,автомат,серебристый,лифтбек,передний,737000.0
Kia Sportage II,2007,133000.0,2.0,Бензин,141.0,механика,чёрный,внедорожник 5 дв.,полный,685000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Ambition,внедорожник 5 дв.,передний,2262000.0
Volkswagen Polo V Рестайлинг,2016,113600.0,1.6,Бензин,110.0,автомат,красный,седан,передний,795000.0
Nissan X-Trail II Рестайлинг,2014,94092.0,2.0,Бензин,141.0,механика,серый,внедорожник 5 дв.,полный,1227000.0
Kia Sportage III Рестайлинг,2014,177501.0,2.0,Бензин,150.0,автомат,белый,внедорожник 5 дв.,полный,1323000.0
Chevrolet Lacetti,2007,147000.0,1.4,Бензин,94.0,механика,серебристый,седан,передний,287000.0
Hyundai Elantra V (MD),2012,103564.0,1.8,Бензин,150.0,автомат,белый,седан,передний,886000.0
Volkswagen Polo V Рестайлинг,2016,103467.0,1.6,Бензин,110.0,автомат,белый,седан,передний,842000.0
Mitsubishi Pajero IV Рестайлинг 1,2011,131000.0,3.0,Бензин,178.0,автомат,коричневый,внедорожник 5 дв.,полный,1491000.0
Opel Astra H Рестайлинг,2012,100964.0,1.8,Бензин,140.0,механика,чёрный,седан,передний,521000.0
BMW 3 серии 318d VII (G2x),2021,0.0,2.0,Дизель,150.0,автомат,318d Sport Line Edition 21,седан,задний,3384100.0
BMW 3 серии 318d VII (G2x),2021,0.0,2.0,Дизель,150.0,автомат,318d Sport Line Edition 21,седан,задний,3274100.0
Nissan X-Trail III,2015,109829.0,2.0,Бензин,144.0,вариатор,синий,внедорожник 5 дв.,полный,1529000.0
MINI Countryman Cooper I,2013,91250.0,1.6,Бензин,122.0,автомат,коричневый,внедорожник 5 дв.,передний,1327000.0
Volkswagen Polo V,2010,367000.0,1.6,Бензин,105.0,механика,белый,седан,передний,374000.0
Hyundai Solaris I Рестайлинг,2015,141255.0,1.6,Бензин,123.0,автомат,чёрный,седан,передний,748000.0
Nissan X-Trail II Рестайлинг,2013,167568.0,2.0,Бензин,141.0,вариатор,чёрный,внедорожник 5 дв.,полный,1201500.0
BMW 3 серии 320i xDrive VII (G2x),2021,0.0,2.0,Бензин,184.0,автомат,320i xDrive M Sport Edition 21,седан,полный,3277000.0
BMW X5 40d IV (G05),2020,20710.0,3.0,Дизель,340.0,автомат,чёрный,внедорожник 5 дв.,полный,7800000.0
Mitsubishi Outlander II,2007,213000.0,2.4,Бензин,170.0,вариатор,синий,внедорожник 5 дв.,полный,709000.0
Kia Optima IV,2016,44000.0,2.4,Бензин,185.0,автомат,чёрный,седан,передний,1707000.0
BMW 3 серии 318d VII (G2x),2021,0.0,2.0,Дизель,150.0,автомат,318d Sport Line Edition 21,седан,задний,3402100.0
Kia Ceed I Рестайлинг,2010,135014.0,1.4,Бензин,109.0,механика,синий,хэтчбек 5 дв.,передний,574000.0
Mitsubishi ASX I Рестайлинг,2013,118785.0,1.8,Бензин,140.0,вариатор,серый,внедорожник 5 дв.,передний,1062000.0
Skoda Rapid I,2016,160000.0,1.4,Бензин,125.0,робот,белый,лифтбек,передний,809000.0
Mercedes-Benz GLE Coupe 450 AMG I (C292),2015,100995.0,3.0,Бензин,367.0,автомат,синий,внедорожник 5 дв.,полный,3367000.0
BMW 3 серии 320d xDrive VII (G2x),2021,0.0,2.0,Дизель,190.0,автомат,320d xDrive M Sport Pro,седан,полный,3697000.0
Hyundai Santa Fe II Рестайлинг,2011,147000.0,2.4,Бензин,174.0,механика,белый,внедорожник 5 дв.,передний,949000.0
Nissan X-Trail II Рестайлинг,2014,83000.0,2.0,Бензин,141.0,вариатор,серый,внедорожник 5 дв.,полный,1235000.0
Hyundai ix35 I Рестайлинг,2013,79075.0,2.0,Бензин,150.0,автомат,синий,внедорожник 5 дв.,полный,1156000.0
Kia Sportage IV,2017,51680.0,2.0,Бензин,150.0,механика,синий,внедорожник 5 дв.,передний,1601500.0
BMW 3 серии 320i VII (G2x),2021,0.0,2.0,Бензин,184.0,автомат,320i Sport Line Edition 21,седан,задний,3194100.0
LADA (ВАЗ) Priora I,2009,139031.0,1.6,Бензин,98.0,механика,красный,хэтчбек 5 дв.,передний,165000.0
Renault Clio IV Рестайлинг,2017,170383.0,1.5,Дизель,90.0,робот,белый,универсал 5 дв.,передний,980000.0
Nissan X-Trail III,2018,60877.0,2.0,Бензин,144.0,вариатор,чёрный,внедорожник 5 дв.,передний,1687000.0
Kia Ceed II Рестайлинг,2018,95501.0,1.6,Бензин,130.0,автомат,белый,универсал 5 дв.,передний,1055000.0
BMW 3 серии 318d VII (G2x),2021,0.0,2.0,Дизель,150.0,автомат,318d Sport Line Edition 21,седан,задний,3274100.0
Ford Explorer V Рестайлинг 2,2019,46178.0,3.5,Бензин,249.0,автомат,чёрный,внедорожник 5 дв.,полный,3250000.0
Kia Cerato 6-speed II,2011,273226.0,1.6,Бензин,126.0,автомат,серебристый,седан,передний,624000.0
SsangYong Actyon II,2013,218143.0,2.0,Бензин,149.0,автомат,серый,внедорожник 5 дв.,полный,774000.0
Ford Focus II,2007,210217.0,1.8,Дизель,116.0,механика,красный,хэтчбек 5 дв.,передний,326000.0
BMW 3 серии 318d VII (G2x),2021,0.0,2.0,Дизель,150.0,автомат,318d Sport Line Edition 21,седан,задний,3069400.0
Ford Focus II,2007,210217.0,1.8,Дизель,116.0,механика,красный,хэтчбек 5 дв.,передний,326000.0
Opel Astra H Рестайлинг,2008,118125.0,1.6,Бензин,115.0,робот,чёрный,седан,передний,423000.0
Lexus RX 350 IV Рестайлинг,2020,5193.0,3.5,Бензин,300.0,автомат,серый,внедорожник 5 дв.,полный,5650000.0
Hyundai Solaris I Рестайлинг,2016,84410.0,1.6,Бензин,123.0,автомат,синий,седан,передний,797000.0
BMW 3 серии 320d xDrive VII (G2x),2021,0.0,2.0,Дизель,190.0,автомат,320d xDrive M Sport Edition 21,седан,полный,3716600.0
SsangYong Kyron 4-speed I Рестайлинг,2010,179789.0,2.3,Бензин,150.0,автомат,чёрный,внедорожник 5 дв.,полный,771000.0
Opel Zafira B Рестайлинг,2011,191880.0,1.8,Бензин,140.0,механика,серебристый,компактвэн,передний,564000.0
Hyundai Solaris II,2017,195845.0,1.6,Бензин,123.0,автомат,серебристый,седан,передний,815000.0
Mercedes-Benz GLC Coupe 300 d I (C253) Рестайлинг,2020,40691.0,2.0,Дизель,245.0,автомат,чёрный,внедорожник 5 дв.,полный,4350000.0
BMW 3 серии 320i xDrive VII (G2x),2021,0.0,2.0,Бензин,184.0,автомат,320i xDrive M Sport Edition 21,седан,полный,3595600.0
Kia Sportage III Рестайлинг,2014,97065.0,2.0,Бензин,150.0,механика,серебристый,внедорожник 5 дв.,полный,1281000.0
Toyota RAV4 IV (CA40) Рестайлинг,2016,189513.0,2.2,Дизель,150.0,автомат,серый,внедорожник 5 дв.,полный,1865000.0
Hyundai Solaris I Рестайлинг,2015,116933.0,1.4,Бензин,107.0,автомат,оранжевый,седан,передний,699000.0
Opel Astra H Рестайлинг,2010,55000.0,1.8,Бензин,140.0,автомат,серый,хэтчбек 5 дв.,передний,717000.0
Nissan Qashqai II,2018,44852.0,2.0,Бензин,144.0,вариатор,красный,внедорожник 5 дв.,передний,1907000.0
BMW 3 серии 320i VII (G2x),2021,0.0,2.0,Бензин,184.0,автомат,320i Sport Line Edition 21,седан,задний,3194100.0
Nissan Qashqai I,2008,78200.0,2.0,Бензин,141.0,вариатор,бежевый,внедорожник 5 дв.,передний,815000.0
Nissan Qashqai I Рестайлинг,2012,220617.0,2.0,Бензин,141.0,вариатор,белый,внедорожник 5 дв.,передний,802000.0
Chevrolet Niva I Рестайлинг,2018,50000.0,1.7,Бензин,80.0,механика,зелёный,внедорожник 5 дв.,полный,653000.0
Kia Sportage III,2013,104913.0,2.0,Бензин,150.0,автомат,серый,внедорожник 5 дв.,полный,1199000.0
BMW 3 серии 320d xDrive VII (G2x),2021,0.0,2.0,Дизель,190.0,автомат,320d xDrive M Sport Pro,седан,полный,3830000.0
Volkswagen Touareg II,2013,186000.0,3.6,Бензин,249.0,автомат,чёрный,внедорожник 5 дв.,полный,1745000.0
Nissan X-Trail III,2015,96144.0,2.0,Бензин,144.0,вариатор,чёрный,внедорожник 5 дв.,передний,1524600.0
Chevrolet Aveo I Рестайлинг,2010,81720.0,1.2,Бензин,84.0,механика,красный,хэтчбек 5 дв.,передний,354000.0
Hyundai Santa Fe III,2015,79000.0,2.4,Бензин,175.0,автомат,серебристый,внедорожник 5 дв.,полный,1835000.0
Hyundai Santa Fe II Рестайлинг,2012,140800.0,2.4,Бензин,174.0,автомат,серебристый,внедорожник 5 дв.,полный,1085000.0
BMW 3 серии 320i VII (G2x),2021,0.0,2.0,Бензин,184.0,автомат,320i Sport Line Edition 21,седан,задний,3339100.0
Peugeot 508 I Рестайлинг,2016,81255.0,1.6,Бензин,150.0,автомат,чёрный,седан,передний,1215000.0
Nissan Qashqai II,2016,75202.0,2.0,Бензин,144.0,вариатор,белый,внедорожник 5 дв.,передний,1473000.0
Mitsubishi Outlander III Рестайлинг 3,2021,0.0,2.0,Бензин,146.0,вариатор,Intense+,внедорожник 5 дв.,полный,1875000.0
Nissan Qashqai II,2018,77586.0,2.0,Бензин,144.0,механика,белый,внедорожник 5 дв.,передний,1622000.0
LADA (ВАЗ) Largus I,2013,233740.0,1.6,Бензин,84.0,механика,серый,универсал 5 дв.,передний,417000.0
Nissan Murano II (Z51) Рестайлинг 2,2014,209000.0,3.5,Бензин,249.0,вариатор,чёрный,внедорожник 5 дв.,полный,1245000.0
Kia XCeed I,2020,14762.0,1.6,Бензин,200.0,робот,жёлтый,хэтчбек 5 дв.,передний,2160000.0
Skoda Rapid I,2014,141950.0,1.4,Бензин,122.0,робот,жёлтый,лифтбек,передний,726000.0
Nissan Qashqai I,2008,134886.0,1.6,Бензин,114.0,механика,чёрный,внедорожник 5 дв.,передний,701000.0
Kia Picanto I Рестайлинг,2009,157302.0,1.1,Бензин,65.0,автомат,серый,хэтчбек 5 дв.,передний,379000.0
Mercedes-Benz W123 200,1976,205000.0,2.0,Дизель,55.0,механика,белый,седан,задний,599000.0
BMW X6 M I (E71) Рестайлинг,2012,144000.0,4.4,Бензин,555.0,автомат,белый,внедорожник 5 дв.,полный,1840000.0
Mercedes-Benz GLE Coupe 350 d I (C292),2018,24100.0,3.0,Дизель,249.0,автомат,синий,внедорожник 5 дв.,полный,5099000.0
Lamborghini Urus I,2021,128.0,4.0,Бензин,650.0,автомат,серый,внедорожник 5 дв.,полный,26490000.0
Land Rover Range Rover IV Рестайлинг,2018,40358.0,5.0,Бензин,565.0,автомат,чёрный,внедорожник 5 дв.,полный,9700000.0
Hyundai Grand Starex I Рестайлинг 2,2019,8900.0,2.5,Дизель,175.0,автомат,чёрный,минивэн,полный,3130000.0
BMW 3 серии 320i V (E90/E91/E92/E93) Рестайлинг,2009,180000.0,2.0,Бензин,156.0,автомат,красный,седан,задний,630000.0
Mercedes-Benz S-Класс Long 600 Guard V (W221) Рестайлинг,2010,75000.0,5.5,Бензин,517.0,автомат,чёрный,седан,задний,4100000.0
Land Rover Range Rover Evoque 6-speed I,2011,77387.0,2.0,Бензин,240.0,автомат,белый,внедорожник 3 дв.,полный,2000000.0
Maybach 62 I Рестайлинг,2012,85200.0,6.0,Бензин,630.0,автомат,коричневый,седан,задний,26000000.0
Kia Sorento I,2005,211000.0,2.5,Дизель,140.0,автомат,чёрный,внедорожник 5 дв.,полный,425000.0
Kia Ceed I Рестайлинг,2012,151000.0,1.6,Бензин,125.0,автомат,белый,универсал 5 дв.,передний,680000.0
Ford Explorer V Рестайлинг,2016,114000.0,3.5,Бензин,249.0,автомат,белый,внедорожник 5 дв.,полный,2500000.0
BMW 7 серии Long 740Li V (F01/F02/F04),2009,160000.0,3.0,Бензин,326.0,автомат,белый,седан,задний,1300000.0
Toyota Camry VIII (XV70) Рестайлинг,2021,7000.0,3.5,Бензин,249.0,автомат,красный,седан,передний,3099000.0
Hyundai Grand Starex I Рестайлинг 2,2020,210.0,2.5,Дизель,175.0,автомат,чёрный,минивэн,полный,3490000.0
Land Rover Range Rover III Рестайлинг 2,2012,246000.0,4.4,Дизель,313.0,автомат,коричневый,внедорожник 5 дв.,полный,2050000.0
Chevrolet Volt I,2012,90730.0,1.4,Гибрид,86.0,вариатор,серебристый,хэтчбек 5 дв.,передний,965000.0
Jeep Grand Cherokee IV (WK2) Рестайлинг,2017,40490.0,3.6,Бензин,286.0,автомат,красный,внедорожник 5 дв.,полный,3999990.0
Toyota Hilux VIII,2019,40000.0,2.8,Дизель,177.0,автомат,белый,пикап двойная кабина,полный,4500000.0
BMW 6 серии 630i II (E63/E64) Рестайлинг,2008,125000.0,3.0,Бензин,272.0,автомат,белый,купе,задний,1230000.0
Volkswagen Golf GTI VII Рестайлинг,2018,46700.0,2.0,Бензин,230.0,механика,белый,хэтчбек 5 дв.,передний,2070000.0
Ford Mondeo V,2017,48500.0,2.5,Бензин,149.0,автомат,серый,седан,передний,1500000.0
BMW 7 серии Long 740Ld xDrive VI (G11/G12),2018,90000.0,3.0,Дизель,320.0,автомат,серый,седан,полный,4300000.0
Mercedes-Benz Viano Long L2 I (W639) Рестайлинг,2013,177000.0,2.1,Дизель,163.0,автомат,серый,минивэн,задний,2100000.0
Geely Coolray I,2021,0.0,1.5,Бензин,150.0,робот,Flagship,внедорожник 5 дв.,передний,1681990.0
Audi A3 III (8V) Рестайлинг,2016,142000.0,1.4,Бензин,150.0,робот,белый,седан,передний,1530000.0
Infiniti Q50 I,2015,98500.0,2.0,Бензин,211.0,автомат,серый,седан,задний,1850000.0
Volkswagen Passat B6,2006,280000.0,3.2,Бензин,250.0,робот,коричневый,седан,полный,525000.0
Porsche Panamera S E-Hybrid I Рестайлинг,2014,111150.0,3.0,Гибрид,333.0,робот,чёрный,хэтчбек 5 дв.,задний,3600000.0
Mercedes-Benz G-Класс AMG 63 AMG II (W463),2019,47000.0,4.0,Бензин,585.0,автомат,чёрный,внедорожник 5 дв.,полный,16300000.0
Mazda MX-30 I,2020,1000.0,107.0,Электро,145.0,Заряд на200км,серый,внедорожник 5 дв.,передний,2675000.0
Toyota RAV4 V (XA50),2021,3.0,2.5,Бензин,199.0,автомат,серебристый,внедорожник 5 дв.,полный,3300000.0
BMW 5 серии 520d VI (F10/F11/F07),2013,198000.0,2.0,Дизель,184.0,автомат,серебристый,универсал 5 дв.,задний,1490000.0
Land Rover Range Rover Sport I Рестайлинг,2010,168895.0,3.6,Дизель,272.0,автомат,чёрный,внедорожник 5 дв.,полный,1595000.0
Toyota Land Cruiser 200 Series,2008,211000.0,4.7,Бензин,288.0,автомат,чёрный,внедорожник 5 дв.,полный,1845000.0
BMW 5 серии 528i xDrive VI (F10/F11/F07) Рестайлинг,2016,110584.0,2.0,Бензин,245.0,автомат,чёрный,седан,полный,1899000.0
Mitsubishi Outlander III Рестайлинг 3,2021,0.0,2.0,Бензин,146.0,вариатор,Inform,внедорожник 5 дв.,передний,1474900.0
Skoda Superb III,2016,50000.0,1.4,Бензин,150.0,робот,белый,лифтбек,передний,1350000.0
LADA (ВАЗ) XRAY I,2018,69558.0,1.8,Бензин,122.0,робот,белый,хэтчбек 5 дв.,передний,630000.0
Kia Optima III Рестайлинг,2015,136422.0,2.0,Бензин,150.0,механика,белый,седан,передний,989000.0
Lexus LX 570 III Рестайлинг 2,2020,12087.0,5.7,Бензин,367.0,автомат,белый,внедорожник 5 дв.,полный,9100000.0
"Mercedes-Benz CLA 200 I (C117, X117)",2014,125118.0,1.6,Бензин,156.0,робот,серебристый,седан,передний,1355000.0
"Mercedes-Benz S-Класс 400 d VI (W222, C217) Рестайлинг",2018,81991.0,2.9,Дизель,340.0,автомат,чёрный,седан,полный,6559000.0
Toyota Carina VI (T190),1995,367184.0,1.5,Бензин,105.0,автомат,белый,седан,передний,170000.0
Mitsubishi Outlander III Рестайлинг 3,2021,0.0,2.0,Бензин,146.0,вариатор,Intense+,внедорожник 5 дв.,полный,1875000.0
Cadillac Escalade IV,2015,83306.0,6.2,Бензин,409.0,автомат,бежевый,внедорожник 5 дв.,полный,4060000.0
Ford Explorer V Рестайлинг,2015,140455.0,3.5,Бензин,249.0,автомат,белый,внедорожник 5 дв.,полный,2399000.0
BMW 3 серии 320d VI (F3x) Рестайлинг,2015,207312.0,2.0,Дизель,190.0,автомат,чёрный,седан,задний,1520000.0
Mitsubishi Outlander III Рестайлинг 3,2021,0.0,2.0,Бензин,146.0,вариатор,Invite,внедорожник 5 дв.,полный,1667000.0
Hyundai H-1 II,2012,137000.0,2.5,Дизель,170.0,автомат,чёрный,минивэн,задний,1239000.0
Skoda Octavia III (A7),2016,129478.0,1.8,Бензин,180.0,робот,серебристый,универсал 5 дв.,полный,1350000.0
Mitsubishi Outlander III Рестайлинг 3,2021,0.0,2.0,Бензин,146.0,вариатор,Invite,внедорожник 5 дв.,полный,1618675.0
BMW 7 серии Long 725Ld VI (G11/G12),2017,223242.0,2.0,Дизель,231.0,автомат,чёрный,седан,задний,2490000.0
Audi A3 II (8P) Рестайлинг 2,2008,185000.0,2.0,Бензин,200.0,робот,красный,хэтчбек 5 дв.,полный,740000.0
Volkswagen Amarok I Рестайлинг,2018,101000.0,3.0,Дизель,224.0,автомат,белый,пикап двойная кабина,полный,2900000.0
Audi A5 I (8T),2009,140668.0,3.2,Бензин,265.0,автомат,чёрный,купе,полный,990000.0
Mitsubishi Outlander III Рестайлинг 3,2021,0.0,2.0,Бензин,146.0,вариатор,Invite,внедорожник 5 дв.,полный,1667000.0
Audi Q3 I (8U) Рестайлинг,2018,62553.0,2.0,Бензин,180.0,робот,белый,внедорожник 5 дв.,полный,2340000.0
Mercedes-Benz GLA 200 II (H247),2020,14363.0,1.3,Бензин,150.0,робот,белый,внедорожник 5 дв.,полный,3797000.0
BMW X5 50i II (E70) Рестайлинг,2012,145373.0,4.4,Бензин,407.0,автомат,белый,внедорожник 5 дв.,полный,1445000.0
Audi Q5 II (FY),2017,26507.0,2.0,Бензин,249.0,робот,чёрный,внедорожник 5 дв.,полный,3000000.0
Hyundai Grandeur IV,2007,208345.0,2.7,Бензин,192.0,автомат,чёрный,седан,передний,480000.0
Mitsubishi Outlander III Рестайлинг 3,2021,0.0,2.0,Бензин,146.0,вариатор,Invite,внедорожник 5 дв.,полный,1730175.0
Jeep Grand Cherokee IV (WK2) Рестайлинг,2016,57225.0,3.0,Бензин,238.0,автомат,серый,внедорожник 5 дв.,полный,3090000.0
Ford Edge I Рестайлинг,2014,254262.0,3.5,Бензин,288.0,автомат,белый,внедорожник 5 дв.,полный,984000.0
Jeep Liberty (North America) II,2010,253600.0,3.7,Бензин,210.0,автомат,серебристый,внедорожник 5 дв.,полный,1128000.0
Mitsubishi Outlander III Рестайлинг 3,2021,0.0,2.4,Бензин,167.0,вариатор,Ultimate,внедорожник 5 дв.,полный,2093500.0
Hyundai Tucson I,2008,141271.0,2.0,Дизель,112.0,механика,серый,внедорожник 5 дв.,полный,619000.0
Toyota RAV4 III (XA30) Рестайлинг,2012,138379.0,2.0,Бензин,148.0,механика,белый,внедорожник 5 дв.,передний,1199000.0
Chevrolet Express II,2011,172778.0,5.3,Бензин,314.0,автомат,чёрный,минивэн,полный,2390000.0
Mercedes-Benz GLC 250 I (X253),2015,153573.0,2.0,Бензин,211.0,автомат,белый,внедорожник 5 дв.,полный,2230000.0
Cadillac Escalade IV,2019,32082.0,6.2,Бензин,426.0,автомат,чёрный,внедорожник 5 дв.,полный,5790000.0
