Model,Year,Mileage,V_engine,EngineType,HorsePower,Selector,Color,CarBodyType,Drive,Price
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,2017,121000.0,1.7,Бензин,83.0,механика,коричневый,внедорожник 3 дв.,полный,465000.0
Volvo XC60 I Рестайлинг,2014,125000.0,2.4,Дизель,215.0,автомат,бежевый,внедорожник 5 дв.,полный,1900000.0
Lexus RX 300 IV Рестайлинг,2020,16475.0,2.0,Бензин,238.0,автомат,чёрный,внедорожник 5 дв.,полный,4800000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Active,лифтбек,передний,1088400.0
Mazda CX-5 I Рестайлинг,2017,161534.0,2.0,Бензин,150.0,автомат,серый,внедорожник 5 дв.,передний,1577000.0
Hyundai Solaris II Рестайлинг,2021,44.0,1.6,Бензин,123.0,автомат,коричневый,седан,передний,1445000.0
Chevrolet Tahoe IV,2019,177583.0,6.2,Бензин,426.0,автомат,синий,внедорожник 5 дв.,полный,3625000.0
Hyundai Creta II,2021,29.0,1.6,Бензин,123.0,автомат,красный,внедорожник 5 дв.,передний,1925000.0
BMW 5 серии 530d xDrive VII (G30/G31) Рестайлинг,2020,38580.0,3.0,Дизель,249.0,автомат,чёрный,седан,полный,5555000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Active,лифтбек,передний,1092900.0
BMW 3 серии 320i VII (G2x),2020,250.0,2.0,Бензин,184.0,автомат,чёрный,седан,задний,3300000.0
Fiat Panda II,2008,122500.0,1.2,Бензин,60.0,робот,белый,хэтчбек 5 дв.,передний,285000.0
Mercedes-Benz CL-Класс AMG 63 AMG II (C216),2010,50000.0,6.2,Бензин,525.0,автомат,серый,купе-хардтоп,задний,2100000.0
Infiniti FX FX37 II (S51) Рестайлинг,2013,77080.0,3.7,Бензин,333.0,автомат,коричневый,внедорожник 5 дв.,полный,1750000.0
Porsche 911 Carrera 4 VII (991),2013,45000.0,3.4,Бензин,350.0,робот,белый,купе,полный,6100000.0
Mercedes-Benz G-Класс 350 d III (W463),2020,21.0,2.9,Дизель,249.0,автомат,чёрный,внедорожник 5 дв.,полный,12200000.0
УАЗ Hunter 315143,2005,160000.0,2.4,Дизель,86.0,механика,зелёный,внедорожник 5 дв.,полный,225000.0
Mitsubishi Pajero Sport III,2018,71277.0,2.4,Дизель,181.0,автомат,серебристый,внедорожник 5 дв.,полный,2750000.0
SsangYong Actyon II,2013,158000.0,2.0,Бензин,149.0,автомат,серый,внедорожник 5 дв.,передний,698000.0
Volkswagen Golf II,1987,280000.0,1.6,Бензин,72.0,автомат,серый,хэтчбек 5 дв.,передний,65000.0
Toyota Camry VII (XV50) Рестайлинг 2,2017,75000.0,2.5,Бензин,181.0,автомат,белый,седан,передний,1820000.0
Opel Corsa D,2008,100.0,1.4,Бензин,90.0,автомат,серый,хэтчбек 5 дв.,передний,332000.0
Hyundai Sonata ТагАЗ IV (EF) Рестайлинг,2011,250000.0,2.0,Бензин,137.0,механика,чёрный,седан,передний,420000.0
Daewoo Matiz I Рестайлинг,2005,111000.0,0.8,Бензин,52.0,механика,золотистый,хэтчбек 5 дв.,передний,115000.0
LADA (ВАЗ) Granta I Рестайлинг,2019,5000.0,1.6,Бензин,87.0,механика,белый,седан,передний,480000.0
Mazda 6 III (GJ) Рестайлинг 2,2019,39200.0,2.0,Бензин,150.0,автомат,белый,седан,передний,2199000.0
Audi A6 III (C6),2006,341500.0,2.0,Бензин,170.0,механика,серый,седан,передний,499999.0
Nissan Pathfinder II,1998,152214.0,3.3,Бензин,150.0,механика,чёрный,внедорожник 5 дв.,полный,720000.0
BMW 5 серии 540i III (E34),1995,279000.0,4.0,Бензин,286.0,механика,голубой,седан,задний,545000.0
BMW M5 V (F10),2012,115000.0,4.4,Бензин,560.0,робот,белый,седан,задний,2950000.0
Mitsubishi ASX I Рестайлинг,2013,180000.0,2.0,Бензин,150.0,вариатор,чёрный,внедорожник 5 дв.,полный,840000.0
Mercedes-Benz G-Класс AMG 55 AMG I (W463) Рестайлинг,2008,160000.0,5.4,Бензин,507.0,автомат,чёрный,внедорожник 5 дв.,полный,3000000.0
Volkswagen Bora,2004,239000.0,1.6,Бензин,102.0,автомат,пурпурный,седан,передний,275000.0
Chevrolet Aveo I Рестайлинг,2010,179000.0,1.4,Бензин,101.0,механика,чёрный,седан,передний,310000.0
Chevrolet Lanos I,2007,160000.0,1.5,Бензин,86.0,механика,серый,седан,передний,45000.0
LADA (ВАЗ) 2105,1996,149000.0,1.5,Бензин,75.0,механика,бежевый,седан,задний,45000.0
Audi A1 I (8X),2013,63000.0,1.4,Бензин,122.0,робот,оранжевый,хэтчбек 5 дв.,передний,949000.0
Opel Astra H Рестайлинг,2012,114500.0,1.6,Бензин,115.0,робот,синий,хэтчбек 5 дв.,передний,535000.0
LADA (ВАЗ) 2115,2004,285000.0,1.5,Бензин,78.0,механика,пурпурный,седан,передний,70000.0
BMW X5 40d II (E70) Рестайлинг,2010,251988.0,3.0,Дизель,306.0,автомат,чёрный,внедорожник 5 дв.,полный,2170000.0
Lamborghini Urus I,2021,50.0,4.0,Бензин,650.0,автомат,чёрный,внедорожник 5 дв.,полный,26500000.0
Honda Civic VIII,2008,195335.0,1.8,Бензин,140.0,механика,синий,хэтчбек 5 дв.,передний,575000.0
Toyota Land Cruiser 200 Series Рестайлинг 2,2016,154000.0,4.5,Дизель,249.0,автомат,чёрный,внедорожник 5 дв.,полный,4125000.0
Mercedes-Benz G-Класс AMG 55 AMG I (W463) Рестайлинг,2011,200700.0,5.4,Бензин,507.0,автомат,чёрный,внедорожник 5 дв.,полный,3350000.0
Infiniti QX60 I Рестайлинг,2016,99500.0,3.5,Бензин,262.0,вариатор,белый,внедорожник 5 дв.,полный,2220000.0
Chevrolet Camaro SS VI Рестайлинг,2018,15000.0,6.2,Бензин,455.0,механика,красный,купе,задний,4444444.0
Hyundai Grand Starex I Рестайлинг 2,2019,26000.0,2.5,Дизель,145.0,автомат,белый,минивэн,полный,3199000.0
Volkswagen Lupo,1998,120000.0,1.4,Бензин,75.0,механика,зелёный,хэтчбек 3 дв.,передний,105000.0
Mercedes-Benz GLA 200 I (X156) Рестайлинг,2018,94192.0,1.6,Бензин,150.0,робот,синий,внедорожник 5 дв.,передний,1607000.0
