Vacancy,Salary_min,Salary_max,Currency,Vac_link,Source,Employee,Area
TeamLead развития решений по управлению данными (г. Сочи),,,,https://superjob.ru/vakansii/teamlead-razvitiya-reshenij-po-upravleniyu-dannymi-38837058.html,superjob.ru,Jobblog,Сочи
Инженер технической поддержки,,150000.0,руб.,https://superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-39072050.html,superjob.ru,,Москва
Системный администратор Linux,80000.0,,руб.,https://superjob.ru/vakansii/sistemnyj-administrator-linux-39070859.html,superjob.ru,Вайнтриб,Санкт-Петербург
Ведущий инженер по сопровождению (администратор ИФТ),,,,https://superjob.ru/vakansii/veduschij-inzhener-po-soprovozhdeniyu-39274749.html,superjob.ru,Сбербанк России,Зеленогорск (Санкт-Петербург)
SEO-оптимизатор,120000.0,,руб.,https://superjob.ru/vakansii/seo-optimizator-39071948.html,superjob.ru,SuperJob,Москва
Backend Developer,80000.0,,руб.,https://superjob.ru/vakansii/backend-developer-39070796.html,superjob.ru,Вайнтриб,Санкт-Петербург
Аналитик мобильных приложений / Игровой аналитик (junior),,,,https://superjob.ru/vakansii/analitik-mobilnyh-prilozhenij-38836454.html,superjob.ru,GoKids,Тбилиси
Специалист службы поддержки (с техническими знаниями),15000.0,,руб.,https://superjob.ru/vakansii/specialist-sluzhby-podderzhki-37985804.html,superjob.ru,Яндекс,Пушкино
"Системный администратор, IT-специалист",,90000.0,руб.,https://superjob.ru/vakansii/sistemnyj-administrator-38941354.html,superjob.ru,Coleman Services,Москва
Специалист технической поддержки,70000.0,,руб.,https://superjob.ru/vakansii/specialist-tehnicheskoj-podderzhki-39201863.html,superjob.ru,Кухонный Двор,Люберцы
Инженер-физик,80000.0,,руб.,https://superjob.ru/vakansii/inzhener-fizik-39065937.html,superjob.ru,Физический институт им. П. Н. Лебедева,Москва
Ведущий разработчик серверной части,175000.0,,руб.,https://superjob.ru/vakansii/veduschij-razrabotchik-servernoj-chasti-38938080.html,superjob.ru,Политехнический музей,Москва
ML engineer / Data scientist,,,,https://superjob.ru/vakansii/ml-engineer-38832215.html,superjob.ru,Brightlab,Ростов-на-Дону
Тестировщик ПО со знанием английского языка,,,,https://superjob.ru/vakansii/testirovschik-po-so-znaniem-anglijskogo-yazyka-39061819.html,superjob.ru,Лидер тестирования,Москва
Backend разработчик,80000.0,,руб.,https://superjob.ru/vakansii/backend-razrabotchik-39061985.html,superjob.ru,Нинтегра,Санкт-Петербург
Системный администратор,150000.0,,руб.,https://superjob.ru/vakansii/sistemnyj-administrator-39289225.html,superjob.ru,Эссистэнс Сервисес,Самара
DevOps инженер,,,,https://superjob.ru/vakansii/devops-inzhener-39057822.html,superjob.ru,DGL Group,Москва
Менеджер по персоналу,,,,https://superjob.ru/vakansii/menedzher-po-personalu-38927449.html,superjob.ru,Технопарк «Сколково»,Москва
QA Automation Engineer,100000.0,,руб.,https://superjob.ru/vakansii/qa-automation-engineer-39283375.html,superjob.ru,Лидер тестирования,Москва
Backend разработчик Ruby,170000.0,190000.0,руб.,https://superjob.ru/vakansii/backend-razrabotchik-ruby-39282699.html,superjob.ru,М2В. Маркетинг для бизнеса,Москва
"Главный инженер, технический директор",,,,https://superjob.ru/vakansii/glavnyj-inzhener-38722709.html,superjob.ru,АЛЬПАРИ,Шелехов
Senior NodeJS Developer,,,,https://superjob.ru/vakansii/senior-nodejs-developer-39281599.html,superjob.ru,Involta,Иваново
Программист микроконтроллеров,50000.0,,руб.,https://superjob.ru/vakansii/programmist-mikrokontrollerov-36189821.html,superjob.ru,"""Концерн ""Автоматика""",Санкт-Петербург
Data Engineer,,,,https://superjob.ru/vakansii/data-engineer-38960657.html,superjob.ru,Сбербанк России,Екатеринбург
Инженер-программист по интеграции систем,120000.0,,руб.,https://superjob.ru/vakansii/inzhener-programmist-po-integracii-sistem-38937760.html,superjob.ru,Политехнический музей,Москва
IT-специалист (Junior/Middle),100000.0,,руб.,https://superjob.ru/vakansii/it-specialist-39287673.html,superjob.ru,Эссистэнс Сервисес,Санкт-Петербург
Преподаватель программирования и IT технологий,30000.0,,руб.,https://superjob.ru/vakansii/prepodavatel-programmirovaniya-i-it-tehnologij-39049592.html,superjob.ru,,Ивантеевка
Web-аналитик,100000.0,,руб.,https://superjob.ru/vakansii/web-analitik-38824420.html,superjob.ru,Автохолдинг МАКСИМУМ,Санкт-Петербург
Программист (техподдержка),,,,https://superjob.ru/vakansii/programmist-39279842.html,superjob.ru,Национальный медицинский исследовательский центр онкологии,Ростов-на-Дону
FullStack разработчик (автоматизация процессов и алгоритмов выявления мошенничества),,,,https://superjob.ru/vakansii/fullstack-razrabotchik-38819797.html,superjob.ru,МегаФон,Новосибирск
